epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1816,1.21883,3.39853,1.23181,0.01251,0.52544,0.11783,0.08638,1.07919,3.75329,1.05085,0.00015554,0.00015554,0.00015554
2,23.6289,1.27906,2.337,1.27552,0.50245,0.18239,0.16349,0.10207,1.13909,3.49174,1.08193,0.000315811,0.000315811,0.000315811
3,34.0313,1.28058,2.0495,1.29469,0.87406,0.09586,0.20331,0.12607,1.32922,3.40904,1.22196,0.000469482,0.000469482,0.000469482
4,43.8364,1.35696,1.91314,1.31781,0.61195,0.13651,0.28698,0.12693,1.42533,3.22223,1.31722,0.000616554,0.000616554,0.000616554
5,53.5981,1.31177,1.80822,1.29143,0.63297,0.24416,0.27214,0.16744,1.44538,3.0012,1.38408,0.000757027,0.000757027,0.000757027
6,63.3359,1.41584,1.86402,1.3291,0.60444,0.2556,0.26313,0.1243,1.53134,3.05127,1.44757,0.0008909,0.0008909,0.0008909
7,73.0045,1.34742,1.75991,1.32613,0.61901,0.30695,0.20948,0.10691,1.60615,2.83949,1.50662,0.000979013,0.000979013,0.000979013
8,82.7687,1.4016,1.80453,1.35233,0.46391,0.41345,0.27598,0.13942,1.63526,2.86952,1.55767,0.000957015,0.000957015,0.000957015
9,92.5328,1.35432,1.71436,1.31465,0.45624,0.29466,0.26586,0.13475,1.59216,2.85403,1.52972,0.000935018,0.000935018,0.000935018
10,102.254,1.4059,1.80198,1.3531,0.6796,0.19296,0.24594,0.11085,1.69311,3.02578,1.55193,0.00091302,0.00091302,0.00091302
11,111.976,1.37278,1.72148,1.30789,0.26105,0.39271,0.2907,0.16433,1.63073,2.35736,1.52383,0.000891022,0.000891022,0.000891022
12,121.909,1.28766,1.62878,1.27965,0.54411,0.23465,0.30717,0.17968,1.55168,2.34339,1.45644,0.000869024,0.000869024,0.000869024
13,131.563,1.27439,1.62274,1.2963,0.73499,0.27951,0.31859,0.17383,1.67966,2.31939,1.56599,0.000847026,0.000847026,0.000847026
14,141.358,1.31465,1.53829,1.26577,0.78047,0.22579,0.29043,0.15396,1.60135,2.29256,1.54608,0.000825029,0.000825029,0.000825029
15,151.111,1.28689,1.54084,1.26339,0.75409,0.20252,0.23162,0.10855,1.61643,2.16774,1.54503,0.000803031,0.000803031,0.000803031
16,160.892,1.24508,1.50722,1.2453,0.55833,0.31977,0.30003,0.13254,1.54893,2.13462,1.44296,0.000781033,0.000781033,0.000781033
17,170.777,1.25308,1.42766,1.23275,0.62028,0.31563,0.34058,0.19914,1.56527,1.99863,1.45854,0.000759035,0.000759035,0.000759035
18,180.501,1.21007,1.42639,1.21501,0.52662,0.31229,0.35174,0.19796,1.55449,1.95438,1.47414,0.000737037,0.000737037,0.000737037
19,190.147,1.23357,1.40093,1.2138,0.52353,0.30485,0.32772,0.16297,1.52501,1.9604,1.49052,0.00071504,0.00071504,0.00071504
20,199.81,1.17802,1.3734,1.20282,0.59672,0.31222,0.34265,0.19673,1.49925,1.97514,1.41271,0.000693042,0.000693042,0.000693042
21,209.528,1.22612,1.3617,1.22282,0.7005,0.33217,0.37514,0.2091,1.49029,1.95039,1.40851,0.000671044,0.000671044,0.000671044
22,219.351,1.24439,1.38132,1.2129,0.40886,0.34759,0.3317,0.19356,1.39016,1.8998,1.33883,0.000649046,0.000649046,0.000649046
23,229.015,1.1584,1.30183,1.22739,0.58373,0.29026,0.34644,0.19637,1.46112,1.90815,1.38154,0.000627048,0.000627048,0.000627048
24,238.703,1.18482,1.26073,1.1841,0.30695,0.30147,0.29356,0.14368,1.47406,1.77124,1.37382,0.000605051,0.000605051,0.000605051
25,248.574,1.15222,1.33207,1.18613,0.57928,0.23118,0.29621,0.15155,1.49323,1.86217,1.35134,0.000583053,0.000583053,0.000583053
26,258.52,1.09615,1.25497,1.18407,0.36955,0.43677,0.38774,0.23044,1.39198,1.72904,1.309,0.000561055,0.000561055,0.000561055
27,268.22,1.11683,1.25188,1.16943,0.41639,0.3488,0.32437,0.20207,1.36997,1.76939,1.30767,0.000539057,0.000539057,0.000539057
28,278.062,1.13178,1.23486,1.16846,0.24375,0.3939,0.31601,0.1835,1.39731,1.7958,1.34682,0.000517059,0.000517059,0.000517059
29,287.909,1.07893,1.17462,1.15719,0.52785,0.31796,0.28938,0.14884,1.42738,1.87656,1.37848,0.000495062,0.000495062,0.000495062
30,297.567,1.07723,1.18834,1.16674,0.50537,0.31484,0.2964,0.14966,1.43975,1.97231,1.39559,0.000473064,0.000473064,0.000473064
31,307.194,1.08427,1.15881,1.13949,0.2961,0.37802,0.3279,0.18039,1.4381,1.87747,1.37561,0.000451066,0.000451066,0.000451066
32,316.979,1.0698,1.16623,1.15508,0.66038,0.28872,0.33759,0.18486,1.40846,1.72721,1.35576,0.000429068,0.000429068,0.000429068
33,326.703,1.06707,1.11662,1.14053,0.39668,0.46395,0.39444,0.19675,1.43677,1.73022,1.36711,0.00040707,0.00040707,0.00040707
34,336.557,1.02036,1.0877,1.12698,0.63449,0.28488,0.31027,0.17502,1.40764,1.71749,1.34653,0.000385073,0.000385073,0.000385073
35,346.245,1.0731,1.09136,1.11646,0.45201,0.42848,0.40537,0.24667,1.38026,1.61617,1.35088,0.000363075,0.000363075,0.000363075
36,355.937,1.02128,1.08384,1.12639,0.64341,0.43618,0.44169,0.24293,1.3884,1.61218,1.34714,0.000341077,0.000341077,0.000341077
37,365.589,1.03638,1.04052,1.11059,0.57269,0.41738,0.44418,0.26133,1.41126,1.64558,1.34634,0.000319079,0.000319079,0.000319079
38,375.242,1.02429,1.05634,1.11167,0.3672,0.47109,0.451,0.27663,1.42972,1.65186,1.33994,0.000297081,0.000297081,0.000297081
39,384.966,1.01959,1.04668,1.11238,0.49888,0.44664,0.4337,0.26268,1.39551,1.64207,1.31596,0.000275084,0.000275084,0.000275084
40,394.743,0.98808,1.02895,1.10381,0.6652,0.31392,0.44451,0.24284,1.36329,1.57975,1.31304,0.000253086,0.000253086,0.000253086
41,404.322,0.99928,1.12539,1.10858,0.7098,0.29673,0.41714,0.22345,1.36815,1.60468,1.32452,0.000231088,0.000231088,0.000231088
42,413.709,0.96738,1.06164,1.04992,0.55986,0.40698,0.41673,0.24705,1.40289,1.72231,1.34685,0.00020909,0.00020909,0.00020909
43,423.157,0.95898,1.02363,1.06975,0.52488,0.43155,0.38916,0.22911,1.38309,1.61701,1.33862,0.000187092,0.000187092,0.000187092
44,432.51,0.91059,0.97065,1.01923,0.60303,0.43262,0.44756,0.26008,1.33862,1.56968,1.32049,0.000165095,0.000165095,0.000165095
45,441.825,0.88557,0.93755,1.01371,0.50674,0.48008,0.45128,0.25785,1.34646,1.56422,1.31396,0.000143097,0.000143097,0.000143097
46,451.286,0.90408,0.97707,1.03437,0.70581,0.41796,0.45351,0.25326,1.36129,1.54224,1.31803,0.000121099,0.000121099,0.000121099
47,460.784,0.88907,0.94107,1.03416,0.62393,0.41671,0.47726,0.27641,1.37195,1.52549,1.32981,9.91012e-05,9.91012e-05,9.91012e-05
48,470.074,0.87297,0.92907,1.01436,0.63132,0.40887,0.47828,0.27865,1.36941,1.50086,1.33345,7.71034e-05,7.71034e-05,7.71034e-05
49,479.506,0.89324,0.94245,1.02709,0.60265,0.41659,0.49154,0.29571,1.3701,1.49329,1.33028,5.51056e-05,5.51056e-05,5.51056e-05
50,488.876,0.85743,0.9031,1.01299,0.63619,0.40324,0.49261,0.29378,1.36945,1.49706,1.3255,3.31078e-05,3.31078e-05,3.31078e-05
